Invoice_Month,Invoice_ID,Warehouse,Carrier,Service_Level,Zone,Billable_Weight_lb,Dim_Weight_lb,Base_Charge_USD,Fuel_Surcharge_USD,Accessorial_Type,Accessorial_USD,Total_Charge_USD,On_Time_Flag,Shipment_ID,Notes,CSR_Ticket_Tag,GL_Code
2024-03,INV90021,PHX1,ShipSwift Ground,Ground,8,1.56,1.56,13068.0,1452.0,None,0.0,14520.0,1,PKG9002116,,,722100
2024-03,INV90022,PHX1,ShipSwift Ground,Ground,5,3.39,3.39,11568.0,1764.0,None,0.0,13332.0,1,PKG9002212,,Claim,722100
2024-03,INV90023,DFW2,RapidDoor,2Day,2,2.67,2.67,14292.0,1836.0,Residential,7056.0,23184.0,1,PKG9002312,,Claim,611000
2024-03,INV90024,ATL3,ShipSwift Ground,Ground,8,1.38,1.38,12984.0,2004.0,None,0.0,14988.0,1,PKG9002485,,Claim,512300
2024-03,INV90025,ATL3,RapidDoor,Ground,5,2.3,2.3,11064.0,2028.0,None,0.0,13092.0,1,PKG9002539,,Claim,722100
2024-03,INV90026,ATL3,ShipSwift Ground,Ground,5,5.82,6.73,13092.0,1452.0,None,0.0,14544.0,1,PKG9002641,,,512300
2024-03,INV90027,DFW2,ParcelPro,Ground,5,2.04,2.04,10956.0,1980.0,None,0.0,12936.0,1,PKG9002743,,Claim,722100
2024-04,INV90028,PHX1,ShipSwift Ground,Ground,5,3.05,3.05,11412.0,1860.0,Oversize,4956.0,18228.0,1,PKG9002886,,Claim,512300
2024-04,INV90029,ATL3,ShipSwift Ground,NextDay,2,2.42,2.42,20784.0,2688.0,Additional Handling,8376.0,31848.0,1,PKG9002912,,Claim,611000
2024-04,INV90030,DFW2,ShipSwift Ground,2Day,6,3.34,3.34,17724.0,2808.0,None,0.0,20532.0,1,PKG9003048,,Claim,722100
2024-04,INV90031,DFW2,ShipSwift Ground,Ground,4,3.64,3.64,10896.0,1740.0,None,0.0,12636.0,1,PKG9003115,,,722100
2024-04,INV90032,DFW2,ParcelPro,Ground,6,4.16,4.16,12696.0,2328.0,None,0.0,15024.0,1,PKG9003230,,RMA,541200
2024-04,INV90033,DFW2,ParcelPro,2Day,2,4.0,4.0,14904.0,1644.0,None,0.0,16548.0,1,PKG9003333,,,541200
2024-04,INV90034,DFW2,ParcelPro,Ground,3,4.73,5.4,10920.0,1584.0,None,0.0,12504.0,1,PKG9003448,,,541200
2024-04,INV90035,PHX1,RapidDoor,NextDay,2,3.8,3.8,21408.0,3120.0,None,0.0,24528.0,1,PKG9003557,,AddressFix,611000
2024-04,INV90036,ATL3,ShipSwift Ground,Ground,6,3.35,3.35,12324.0,1404.0,Residential,7644.0,21372.0,1,PKG9003675,,AddressFix,611000
2024-05,INV90037,PHX1,ShipSwift Ground,Ground,6,2.26,3.94,12600.0,1704.0,None,0.0,14304.0,0,PKG9003720,,,611000
2024-05,INV90038,PHX1,ShipSwift Ground,Ground,3,0.55,0.7,8784.0,1008.0,Additional Handling,6840.0,16632.0,1,PKG9003840,,AddressFix,611000
2024-05,INV90039,PHX1,ShipSwift Ground,Ground,5,2.42,2.42,11124.0,2052.0,Oversize,4020.0,17196.0,1,PKG9003992,Pilot,,541200
2024-05,INV90040,DFW2,ShipSwift Ground,2Day,3,1.94,1.94,14748.0,2112.0,None,0.0,16860.0,1,PKG9004046,Pilot,,541200
2024-05,INV90041,ATL3,ShipSwift Ground,Ground,3,2.04,2.04,9396.0,1236.0,None,0.0,10632.0,1,PKG9004195,,,541200
2024-05,INV90042,DFW2,ShipSwift Ground,Ground,8,1.16,1.28,12948.0,1524.0,None,0.0,14472.0,1,PKG9004215,,Claim,611000
2024-05,INV90043,PHX1,ParcelPro,Ground,4,4.54,4.54,11316.0,1848.0,None,0.0,13164.0,1,PKG9004393,,,722100
2024-05,INV90044,DFW2,RapidDoor,Ground,3,1.08,1.08,8952.0,1284.0,Additional Handling,3576.0,13812.0,1,PKG9004449,,,512300
2024-05,INV90045,PHX1,ShipSwift Ground,2Day,6,3.78,3.78,17928.0,2016.0,None,0.0,19944.0,1,PKG9004514,,,611000
2024-06,INV90046,DFW2,RapidDoor,Ground,7,2.64,2.64,12780.0,1596.0,Residential,5040.0,19416.0,1,PKG9004642,,,541200
2024-06,INV90047,DFW2,ShipSwift Ground,Ground,2,3.81,6.33,10572.0,1188.0,None,0.0,11760.0,1,PKG9004763,,AddressFix,541200
2024-06,INV90048,DFW2,ParcelPro,2Day,6,4.85,4.85,18408.0,2556.0,Additional Handling,9684.0,30648.0,1,PKG9004817,Promo,AddressFix,541200
2024-06,INV90049,ATL3,ParcelPro,Ground,8,9.07,9.07,16500.0,2124.0,None,0.0,18624.0,1,PKG9004930,,AddressFix,611000
2024-06,INV90050,PHX1,RapidDoor,Ground,3,6.39,6.39,11376.0,1932.0,None,0.0,13308.0,0,PKG9005089,Promo,Claim,722100
2024-06,INV90051,DFW2,ParcelPro,Ground,8,5.38,5.38,14808.0,1884.0,None,0.0,16692.0,1,PKG9005157,,AddressFix,512300
2024-06,INV90052,DFW2,RapidDoor,Ground,3,6.65,10.31,13164.0,1536.0,Residential,9648.0,24348.0,1,PKG9005258,Ops adj.,RMA,512300
2024-06,INV90053,PHX1,ParcelPro,Ground,4,3.09,3.09,10644.0,1932.0,Residential,3072.0,15648.0,1,PKG9005327,Pilot,AddressFix,512300
2024-06,INV90054,ATL3,ParcelPro,Ground,3,3.16,3.16,9900.0,1596.0,None,0.0,11496.0,1,PKG9005467,,Claim,512300
2024-07,INV90055,ATL3,ShipSwift Ground,Ground,4,2.31,2.31,10296.0,1956.0,None,0.0,12252.0,1,PKG9005558,,,722100
2024-07,INV90056,DFW2,ShipSwift Ground,Ground,8,3.54,4.86,14580.0,2508.0,None,0.0,17088.0,1,PKG9005678,,,512300
2024-07,INV90057,DFW2,ShipSwift Ground,Ground,3,5.54,5.54,10992.0,1452.0,None,0.0,12444.0,1,PKG9005753,Pilot,,611000
2024-07,INV90058,DFW2,ShipSwift Ground,Ground,6,2.97,2.97,12156.0,1884.0,Residential,7980.0,22020.0,1,PKG9005813,Pilot,RMA,611000
2024-07,INV90059,DFW2,ParcelPro,2Day,3,3.0,3.0,15228.0,2556.0,None,0.0,17784.0,1,PKG9005924,Pilot,AddressFix,722100
2024-07,INV90060,DFW2,ShipSwift Ground,2Day,3,2.11,2.11,14820.0,1656.0,None,0.0,16476.0,1,PKG9006068,,Claim,611000
2024-07,INV90061,ATL3,ParcelPro,2Day,4,7.22,7.22,17928.0,2220.0,None,0.0,20148.0,1,PKG9006113,,AddressFix,611000
2024-07,INV90062,DFW2,ShipSwift Ground,Ground,8,3.04,3.04,13752.0,1872.0,None,0.0,15624.0,1,PKG9006261,,RMA,512300
2024-07,INV90063,DFW2,RapidDoor,Ground,7,4.09,4.09,13440.0,1488.0,None,0.0,14928.0,1,PKG9006357,,,541200
2024-08,INV90064,PHX1,ParcelPro,2Day,3,2.69,2.69,15084.0,1752.0,None,0.0,16836.0,1,PKG9006492,,,611000
2024-08,INV90065,ATL3,ParcelPro,Ground,4,3.88,3.88,11004.0,1896.0,None,0.0,12900.0,1,PKG9006540,,,722100
2024-08,INV90066,ATL3,ParcelPro,Ground,3,1.1,1.1,8964.0,1416.0,None,0.0,10380.0,1,PKG9006688,,RMA,541200
2024-08,INV90067,ATL3,RapidDoor,Ground,2,3.23,3.23,9156.0,1392.0,None,0.0,10548.0,1,PKG9006791,,,512300
2024-08,INV90068,ATL3,RapidDoor,NextDay,5,2.14,2.14,22992.0,3828.0,None,0.0,26820.0,1,PKG9006837,,AddressFix,611000
2024-08,INV90069,DFW2,ParcelPro,Ground,3,6.17,9.72,12888.0,2076.0,None,0.0,14964.0,1,PKG9006942,,,611000
2024-08,INV90070,PHX1,ShipSwift Ground,Ground,4,4.6,4.6,11340.0,1548.0,None,0.0,12888.0,1,PKG9007024,,,722100
2024-08,INV90071,PHX1,ParcelPro,Ground,8,2.58,2.58,13536.0,1500.0,None,0.0,15036.0,1,PKG9007119,,RMA,512300
2024-08,INV90072,ATL3,ShipSwift Ground,Ground,8,2.02,2.02,13284.0,1512.0,None,0.0,14796.0,0,PKG9007262,,AddressFix,512300
2024-09,INV90073,PHX1,ShipSwift Ground,2Day,8,1.79,1.79,18576.0,3060.0,Residential,5364.0,27000.0,1,PKG9007369,,AddressFix,512300
2024-09,INV90074,PHX1,ParcelPro,Ground,6,4.09,4.09,12660.0,2280.0,None,0.0,14940.0,1,PKG9007410,,RMA,722100
2024-09,INV90075,ATL3,RapidDoor,2Day,7,2.05,2.09,17928.0,2880.0,None,0.0,20808.0,1,PKG9007539,,RMA,512300
2024-09,INV90076,ATL3,ParcelPro,Ground,2,7.66,8.94,11760.0,2148.0,None,0.0,13908.0,1,PKG9007673,,Claim,722100
2024-09,INV90077,DFW2,ShipSwift Ground,Ground,4,1.68,1.68,10008.0,1368.0,None,0.0,11376.0,1,PKG9007725,,,611000
2024-09,INV90078,PHX1,ParcelPro,Ground,6,2.09,3.67,12468.0,1536.0,None,0.0,14004.0,1,PKG9007844,,RMA,611000
2024-09,INV90079,PHX1,ShipSwift Ground,2Day,7,1.72,2.13,17952.0,2004.0,None,0.0,19956.0,1,PKG9007913,Ops adj.,Claim,541200
2024-09,INV90080,DFW2,ShipSwift Ground,2Day,4,1.35,1.35,15252.0,2784.0,None,0.0,18036.0,1,PKG9008052,,AddressFix,722100
2024-09,INV90081,ATL3,ShipSwift Ground,Ground,5,3.72,3.72,11712.0,1800.0,None,0.0,13512.0,1,PKG9008189,,Claim,541200
2024-10,INV90082,ATL3,ShipSwift Ground,Ground,8,1.92,1.92,13236.0,1656.0,None,0.0,14892.0,1,PKG9008286,,AddressFix,611000
2024-10,INV90083,PHX1,ShipSwift Ground,Ground,8,5.68,5.68,14952.0,1968.0,Remote Area,5844.0,22764.0,1,PKG9008377,,,722100
2024-10,INV90084,PHX1,ShipSwift Ground,Ground,8,3.06,3.06,13752.0,1836.0,None,0.0,15588.0,1,PKG9008490,,RMA,722100
2024-10,INV90085,DFW2,RapidDoor,Ground,3,1.06,1.06,8940.0,1320.0,Additional Handling,4260.0,14520.0,0,PKG9008584,Pilot,,611000
2024-10,INV90086,ATL3,RapidDoor,Ground,6,1.87,1.87,11652.0,1836.0,None,0.0,13488.0,1,PKG9008610,,,512300
2024-10,INV90087,DFW2,ShipSwift Ground,Ground,4,2.91,2.91,10572.0,1476.0,None,0.0,12048.0,1,PKG9008755,Pilot,,541200
2024-10,INV90088,ATL3,ShipSwift Ground,Ground,4,5.91,5.91,11940.0,2148.0,Residential,9900.0,23988.0,1,PKG9008843,,Claim,722100
2024-10,INV90089,ATL3,ParcelPro,Ground,3,2.24,2.24,9480.0,1680.0,Remote Area,5388.0,16548.0,1,PKG9008980,,RMA,611000
2024-10,INV90090,DFW2,ShipSwift Ground,Ground,7,2.5,2.5,12720.0,1992.0,None,0.0,14712.0,1,PKG9009071,,,541200
2024-11,INV90091,DFW2,ShipSwift Ground,Ground,6,1.28,1.28,11388.0,1488.0,Additional Handling,8256.0,21132.0,1,PKG9009167,,,611000
2024-11,INV90092,DFW2,ShipSwift Ground,NextDay,6,5.87,5.87,25476.0,3888.0,None,0.0,29364.0,1,PKG9009224,,RMA,512300
2024-11,INV90093,DFW2,ParcelPro,NextDay,6,0.87,1.2,23352.0,4164.0,None,0.0,27516.0,1,PKG9009394,,,611000
2024-11,INV90094,DFW2,RapidDoor,2Day,8,3.39,3.39,19308.0,3432.0,None,0.0,22740.0,1,PKG9009448,,Claim,541200
2024-11,INV90095,PHX1,ShipSwift Ground,2Day,4,2.91,3.74,16344.0,2148.0,None,0.0,18492.0,1,PKG9009593,Pilot,Claim,611000
2024-11,INV90096,ATL3,ParcelPro,Ground,5,3.51,3.51,11616.0,1572.0,None,0.0,13188.0,1,PKG9009669,Pilot,,541200
2024-11,INV90097,DFW2,RapidDoor,Ground,4,4.18,7.45,12636.0,2088.0,None,0.0,14724.0,1,PKG9009730,,Claim,722100
2024-11,INV90098,ATL3,RapidDoor,Ground,7,5.29,5.29,13992.0,1980.0,None,0.0,15972.0,1,PKG9009833,,AddressFix,722100
2024-11,INV90099,DFW2,RapidDoor,Ground,8,3.02,3.16,13800.0,2508.0,None,0.0,16308.0,1,PKG9009989,Pilot,Claim,541200
2024-12,INV90100,DFW2,ParcelPro,NextDay,5,1.15,1.15,22548.0,2496.0,None,0.0,25044.0,1,PKG9010046,Ops adj.,AddressFix,512300
2024-12,INV90101,PHX1,ShipSwift Ground,2Day,2,7.04,9.11,17232.0,2100.0,None,0.0,19332.0,1,PKG9010177,,,611000
2024-12,INV90102,PHX1,ShipSwift Ground,Ground,2,2.11,2.11,8640.0,1008.0,None,0.0,9648.0,1,PKG9010232,,,611000
2024-12,INV90103,DFW2,ParcelPro,Ground,2,4.87,4.87,9900.0,1488.0,None,0.0,11388.0,1,PKG9010335,Ops adj.,RMA,541200
2024-12,INV90104,ATL3,ParcelPro,Ground,5,2.52,2.52,11172.0,2076.0,Remote Area,6360.0,19608.0,1,PKG9010441,,,611000
2024-12,INV90105,DFW2,ParcelPro,Ground,3,4.48,4.48,10500.0,1776.0,Residential,10416.0,22692.0,1,PKG9010544,,AddressFix,611000
2024-12,INV90106,ATL3,RapidDoor,2Day,2,2.9,2.9,14400.0,1956.0,None,0.0,16356.0,1,PKG9010697,,RMA,512300
2024-12,INV90107,DFW2,ShipSwift Ground,Ground,4,2.34,2.34,10308.0,1776.0,None,0.0,12084.0,1,PKG9010778,Pilot,,611000
2024-12,INV90108,PHX1,ParcelPro,Ground,8,4.8,4.8,14544.0,2136.0,None,0.0,16680.0,1,PKG9010827,,Claim,512300
