Invoice_Line_ID,Ship_Date,Carrier,Service,Zone,Billable_Weight_lb,Base_Charge_USD,Fuel_Surcharge_USD,Accessorial_Type,Accessorial_USD,Total_Charge_USD,Package_Type,Customer_Segment,CSR_Ticket_ID,Notes
IL500016,2024-02-20,MesaLine Carriers,Ground,6,23.8,28295.94,5994.34,Residential,6089.56,40379.84,TOTE,B2C,T19273,
IL500017,2024-02-23,SwiftLane,Ground,6,16.7,28455.25,4899.99,None,0.0,33355.24,BOX,Marketplace,T13255,
IL500018,2024-02-26,RoadHaul,Ground,4,14.2,28269.19,3750.82,None,0.0,32020.0,BOX,B2C,T10622,Pilot
IL500019,2024-02-29,BlueStar Freight,Ground,7,19.7,35529.95,6129.13,None,0.0,41659.08,POLY,B2B,T19232,
IL500020,2024-03-03,SwiftLane,Ground,6,22.4,29638.6,7096.11,Liftgate,24573.87,61308.58,TOTE,Marketplace,T10935,Dispute
IL500021,2024-03-06,RoadHaul,Ground,2,11.8,20494.9,2847.78,None,0.0,23342.69,BOX,B2B,T15211,
IL500022,2024-03-09,MesaLine Carriers,Ground,5,8.1,26283.48,4478.23,None,0.0,30761.72,BOX,B2C,T19781,
IL500023,2024-03-12,SwiftLane,Ground,6,22.9,30787.7,3348.64,None,0.0,34136.34,BOX,Marketplace,T17302,Dispute
IL500024,2024-03-15,MesaLine Carriers,Ground,5,17.5,30112.9,3190.35,Address_Correction,15080.13,48383.39,BOX,Marketplace,T15321,Ops adj.
IL500025,2024-03-18,BlueStar Freight,Ground,5,18.3,27407.92,4323.87,None,0.0,31731.79,BOX,B2B,T11981,
IL500026,2024-03-21,RoadHaul,Ground,8,16.2,33038.56,5571.35,None,0.0,38609.9,POLY,B2B,T18304,
IL500027,2024-03-24,MesaLine Carriers,Ground,3,22.4,28985.58,3893.35,None,0.0,32878.93,POLY,Marketplace,T11375,
IL500028,2024-03-27,BlueStar Freight,Ground,4,18.2,27759.72,2750.97,None,0.0,30510.69,BOX,B2B,T18669,
IL500029,2024-03-30,SwiftLane,Ground,3,17.3,26929.22,4861.67,None,0.0,31790.89,POLY,B2C,T18536,
IL500030,2024-04-02,MesaLine Carriers,Ground,7,21.0,35292.86,6526.34,None,0.0,41819.2,BOX,Marketplace,T16148,
IL500031,2024-04-05,BlueStar Freight,Ground,2,22.7,23023.03,1381.38,None,0.0,24404.41,POLY,B2B,T17402,
IL500032,2024-04-08,BlueStar Freight,Ground,2,22.7,23590.77,3585.9,None,0.0,27176.66,TOTE,Marketplace,T19620,Pilot
IL500033,2024-04-11,MesaLine Carriers,Ground,6,29.6,32225.4,3932.72,None,0.0,36158.12,POLY,Marketplace,T12594,Pilot
IL500034,2024-04-14,RoadHaul,Ground,3,24.3,26339.38,3094.94,None,0.0,29434.32,POLY,Marketplace,T16193,
IL500035,2024-04-17,BlueStar Freight,Ground,6,22.4,31058.85,4668.07,None,0.0,35726.92,BOX,Marketplace,T10650,
IL500036,2024-04-20,MesaLine Carriers,Ground,4,14.0,23106.74,3982.32,Inside_Delivery,42657.83,69746.89,BOX,B2C,T15216,
IL500037,2024-04-23,RoadHaul,Ground,7,12.3,33745.99,6557.8,None,0.0,40303.79,BOX,B2B,T12522,
IL500038,2024-04-26,MesaLine Carriers,Ground,6,21.5,34010.6,5709.35,Residential,6002.28,45722.24,BOX,B2B,T13445,
IL500039,2024-04-29,SwiftLane,Ground,7,26.1,37971.49,5862.74,None,0.0,43834.24,BOX,B2C,T10197,
IL500040,2024-05-02,MesaLine Carriers,Ground,4,13.7,28086.4,2795.99,None,0.0,30882.39,BOX,B2C,T16640,
IL500041,2024-05-05,RoadHaul,Ground,7,13.9,31187.32,4788.02,None,0.0,35975.35,TOTE,B2C,T17810,
IL500042,2024-05-08,RoadHaul,Ground,4,18.1,21132.78,3523.35,None,0.0,24656.12,TOTE,B2C,T19351,
IL500043,2024-05-11,MesaLine Carriers,Ground,6,20.2,26859.94,4422.95,None,0.0,31282.89,POLY,B2B,T19561,
IL500044,2024-05-14,SwiftLane,Ground,5,15.7,28957.63,3495.83,None,0.0,32453.46,BOX,B2B,T12992,
IL500045,2024-05-17,RoadHaul,Ground,5,18.1,29341.24,3195.54,None,0.0,32536.77,POLY,Marketplace,T19685,
IL500046,2024-05-20,SwiftLane,Ground,6,15.4,24790.27,2954.58,None,0.0,27744.85,TOTE,B2C,T18271,
IL500047,2024-05-23,MesaLine Carriers,Ground,6,28.3,30737.74,4474.55,Liftgate,18527.44,53739.72,POLY,Marketplace,T15382,
IL500048,2024-05-26,RoadHaul,Ground,5,16.6,24856.43,4632.76,Inside_Delivery,37654.2,67143.39,POLY,B2C,T11111,
IL500049,2024-05-29,BlueStar Freight,Ground,7,13.2,26858.2,5155.15,None,0.0,32013.35,TOTE,B2B,T13256,
IL500050,2024-06-01,RoadHaul,Ground,5,29.7,29373.07,5251.77,Inside_Delivery,34161.7,68786.54,POLY,B2C,T17240,
IL500051,2024-06-04,BlueStar Freight,Ground,4,20.8,30145.01,3233.85,None,0.0,33378.86,BOX,Marketplace,T13923,
IL500052,2024-06-07,BlueStar Freight,Ground,6,6.9,23902.1,4000.24,Address_Correction,13246.31,41148.65,POLY,Marketplace,T15478,
IL500053,2024-06-10,MesaLine Carriers,Ground,5,16.1,23894.8,4135.3,Inside_Delivery,25013.8,53043.89,POLY,Marketplace,T10355,
IL500054,2024-06-13,BlueStar Freight,2Day,4,11.2,31634.2,3988.17,None,0.0,35622.37,BOX,B2C,T10420,
IL500055,2024-06-16,SwiftLane,Ground,5,12.5,25502.21,3570.99,None,0.0,29073.2,TOTE,B2C,T15375,
IL500056,2024-06-19,BlueStar Freight,Ground,4,13.6,25838.46,3569.3,None,0.0,29407.76,POLY,Marketplace,T10168,
IL500057,2024-06-22,RoadHaul,Ground,3,12.3,19121.35,2548.52,None,0.0,21669.86,TOTE,B2C,T10621,
IL500058,2024-06-25,MesaLine Carriers,2Day,3,12.0,39009.06,6160.89,None,0.0,45169.95,TOTE,B2B,T10722,
IL500059,2024-06-28,RoadHaul,2Day,5,17.5,40673.62,4348.19,Residential,3022.69,48044.49,POLY,B2C,T16033,
IL500060,2024-07-01,MesaLine Carriers,Ground,2,20.0,22370.27,3006.44,None,0.0,25376.71,POLY,Marketplace,T14716,Ops adj.
IL500061,2024-07-04,RoadHaul,Ground,4,16.3,26024.43,4076.79,None,0.0,30101.21,BOX,B2C,T16997,
IL500062,2024-07-07,RoadHaul,Ground,2,20.4,25255.37,2295.02,None,0.0,27550.39,BOX,Marketplace,T13476,
IL500063,2024-07-10,BlueStar Freight,Ground,5,16.1,27668.47,3332.44,Residential,5929.98,36930.89,POLY,Marketplace,T14532,
IL500064,2024-07-13,BlueStar Freight,Ground,5,23.5,24451.87,3504.92,None,0.0,27956.79,TOTE,Marketplace,T10168,Pilot
IL500065,2024-07-16,SwiftLane,Ground,4,27.5,25731.05,3267.25,Inside_Delivery,26498.24,55496.54,BOX,B2B,T10863,
IL500066,2024-07-19,BlueStar Freight,Ground,4,19.9,28023.22,5032.31,Residential,7169.34,40224.86,TOTE,B2C,T12818,
IL500067,2024-07-22,MesaLine Carriers,Ground,5,1.0,24116.96,3072.0,None,0.0,27188.97,BOX,Marketplace,T16762,
IL500068,2024-07-25,MesaLine Carriers,Ground,8,12.0,30998.05,5554.61,None,0.0,36552.66,POLY,Marketplace,T17682,
IL500069,2024-07-28,SwiftLane,2Day,7,10.7,47554.08,8532.16,Address_Correction,10848.89,66935.13,TOTE,B2B,T13725,
IL500070,2024-07-31,SwiftLane,Ground,6,13.1,29923.93,4796.09,None,0.0,34720.03,TOTE,Marketplace,T12141,
IL500071,2024-08-03,SwiftLane,Ground,5,8.9,24119.91,3448.86,None,0.0,27568.77,POLY,B2C,T13842,
IL500072,2024-08-06,BlueStar Freight,2Day,4,11.5,39143.56,4998.84,None,0.0,44142.4,TOTE,Marketplace,T19608,
IL500073,2024-08-09,SwiftLane,Ground,4,22.3,30983.76,3037.71,None,0.0,34021.46,TOTE,B2B,T10449,
IL500074,2024-08-12,SwiftLane,Ground,3,18.4,21826.99,4037.96,Address_Correction,16049.06,41914.01,BOX,B2C,T16445,
IL500075,2024-08-15,RoadHaul,Ground,4,10.4,22001.95,2357.09,None,0.0,24359.04,BOX,B2C,T19994,
IL500076,2024-08-18,SwiftLane,2Day,4,7.5,32589.44,5302.66,Liftgate,29835.88,67727.98,TOTE,B2C,T14824,
IL500077,2024-08-21,MesaLine Carriers,Ground,6,18.8,34173.07,4775.21,None,0.0,38948.28,POLY,B2C,T10199,
IL500078,2024-08-24,BlueStar Freight,Ground,2,19.4,25764.02,3702.55,Address_Correction,19264.93,48731.5,BOX,B2C,T16470,
IL500079,2024-08-27,BlueStar Freight,Ground,6,14.2,26688.48,3886.99,None,0.0,30575.47,TOTE,B2C,T11425,
IL500080,2024-08-30,RoadHaul,Ground,4,20.2,24279.76,2312.27,Residential,5067.51,31659.54,TOTE,B2C,T13774,Ops adj.
IL500081,2024-09-02,BlueStar Freight,Ground,5,13.2,21129.14,2289.52,None,0.0,23418.65,TOTE,Marketplace,T19567,
IL500082,2024-09-05,SwiftLane,2Day,4,13.0,35808.23,6056.2,None,0.0,41864.44,BOX,B2C,T19876,
IL500083,2024-09-08,BlueStar Freight,Ground,7,22.8,36168.54,5990.98,None,0.0,42159.52,BOX,B2B,T12670,
IL500084,2024-09-11,BlueStar Freight,Ground,7,14.9,29810.19,5599.1,Address_Correction,17460.88,52870.17,POLY,Marketplace,T11820,Dispute
IL500085,2024-09-14,RoadHaul,Ground,8,5.7,26830.76,5486.96,None,0.0,32317.71,BOX,B2C,T13304,
IL500086,2024-09-17,MesaLine Carriers,Ground,6,25.8,26091.35,4985.36,Address_Correction,13646.64,44723.35,TOTE,Marketplace,T18096,Pilot
IL500087,2024-09-20,RoadHaul,Ground,5,30.6,31329.76,6132.73,None,0.0,37462.49,TOTE,Marketplace,T14045,
IL500088,2024-09-23,SwiftLane,Ground,4,25.0,28667.48,1779.77,None,0.0,30447.25,POLY,B2B,T19546,Ops adj.
IL500089,2024-09-26,RoadHaul,Ground,6,15.6,30736.86,6451.89,None,0.0,37188.75,POLY,Marketplace,T15200,
IL500090,2024-09-29,MesaLine Carriers,Ground,4,22.1,26169.17,3774.21,Liftgate,28841.97,58785.36,TOTE,B2C,T15818,
IL500091,2024-10-02,BlueStar Freight,Ground,2,19.4,24480.94,3822.18,None,0.0,28303.12,BOX,Marketplace,T16635,Dispute
IL500092,2024-10-05,MesaLine Carriers,Ground,4,18.3,26546.14,4816.45,None,0.0,31362.59,TOTE,B2B,T15091,
IL500093,2024-10-08,SwiftLane,Ground,5,10.2,19990.52,1561.29,None,0.0,21551.81,BOX,B2C,T18372,
IL500094,2024-10-11,MesaLine Carriers,Ground,3,24.1,28845.44,5420.75,None,0.0,34266.19,POLY,B2C,T11697,
IL500095,2024-10-14,BlueStar Freight,Ground,6,22.0,33352.9,5851.73,None,0.0,39204.62,POLY,B2C,T13534,Dispute
IL500096,2024-10-17,MesaLine Carriers,Ground,6,9.5,26492.03,4712.26,None,0.0,31204.29,BOX,B2B,T15510,
IL500097,2024-10-20,BlueStar Freight,Ground,6,21.9,28710.62,5603.23,None,0.0,34313.85,POLY,B2B,T12536,
IL500098,2024-10-23,RoadHaul,2Day,5,22.5,39492.36,2802.61,None,0.0,42294.97,BOX,B2C,T11197,Ops adj.
IL500099,2024-10-26,RoadHaul,Ground,3,20.8,23453.24,3119.09,None,0.0,26572.33,BOX,Marketplace,T13934,
IL500100,2024-10-29,SwiftLane,Ground,5,19.3,21415.84,2595.84,None,0.0,24011.68,POLY,Marketplace,T17813,
IL500101,2024-11-01,BlueStar Freight,2Day,5,3.6,35038.86,4985.84,None,0.0,40024.7,BOX,B2B,T18746,
IL500102,2024-11-04,MesaLine Carriers,Ground,7,24.3,35771.46,7350.47,None,0.0,43121.93,BOX,B2C,T14907,
IL500103,2024-11-07,RoadHaul,Ground,3,25.1,27537.34,5586.57,None,0.0,33123.91,BOX,B2C,T18177,
IL500104,2024-11-10,RoadHaul,Ground,4,24.6,31640.33,4649.55,Address_Correction,13049.34,49339.22,POLY,Marketplace,T11838,
IL500105,2024-11-13,SwiftLane,Ground,5,25.4,29368.63,5619.92,None,0.0,34988.55,POLY,Marketplace,T17366,
IL500106,2024-11-16,SwiftLane,Ground,4,5.4,19971.83,3620.74,None,0.0,23592.57,TOTE,B2C,T17509,
IL500107,2024-11-19,SwiftLane,Ground,4,19.0,24784.38,3132.14,None,0.0,27916.51,TOTE,Marketplace,T14385,
IL500108,2024-11-22,RoadHaul,Ground,7,17.0,27955.18,4610.85,None,0.0,32566.04,BOX,B2C,T16948,
IL500109,2024-11-25,SwiftLane,2Day,7,18.1,56519.53,10129.33,None,0.0,66648.87,TOTE,Marketplace,T16779,
IL500110,2024-11-28,BlueStar Freight,Ground,5,19.8,26688.5,3052.44,None,0.0,29740.94,BOX,Marketplace,T12502,
IL500111,2024-12-01,BlueStar Freight,Ground,3,23.8,23300.39,2962.62,None,0.0,26263.0,TOTE,B2C,T11515,
IL500112,2024-12-04,MesaLine Carriers,Ground,2,17.4,24197.67,3505.7,None,0.0,27703.38,POLY,B2C,T19035,
IL500113,2024-12-07,RoadHaul,Ground,2,23.6,22376.21,3164.47,Liftgate,16227.2,41767.88,BOX,Marketplace,T19212,
IL500114,2024-12-10,RoadHaul,Ground,5,20.9,30802.56,4831.79,Address_Correction,14672.51,50306.86,TOTE,B2C,T14102,
IL500115,2024-12-13,RoadHaul,Ground,5,18.4,26142.1,3998.04,None,0.0,30140.14,TOTE,Marketplace,T10149,
IL500116,2024-12-16,MesaLine Carriers,Ground,3,22.7,24669.84,2797.47,Address_Correction,12844.91,40312.21,POLY,B2C,T19595,
IL500117,2024-12-19,RoadHaul,Ground,4,15.1,25213.31,3065.97,None,0.0,28279.28,BOX,B2B,T17428,
IL500118,2024-12-22,RoadHaul,Ground,2,15.9,24216.02,2633.42,None,0.0,26849.44,POLY,B2C,T11156,
IL500119,2024-12-25,MesaLine Carriers,Ground,6,18.0,31507.18,5476.45,None,0.0,36983.63,TOTE,Marketplace,T17085,
IL500120,2024-12-28,SwiftLane,2Day,5,11.3,41060.72,6618.93,None,0.0,47679.65,POLY,B2B,T19870,Ops adj.
