Shipment_ID,Ship_Date,Origin_DC,Dest_City,Dest_State,Mode,Service_Level,Miles,Linehaul_USD,Fuel_Surcharge_USD,Accessorial_Type,Accessorial_USD,Total_Cost_USD,On_Time_Flag,Planner_ID,Trailer_Type,Lane_Tag,Notes,Noise_GL
T500014,2024-02-14,NJ1,CHI,IL,TL,Standard,790,31181.94,6317.4,None,0.0,37499.33,1,PL-33,Reefer,Core,,6110
T500015,2024-02-17,TX2,PHX,AZ,TL,Standard,880,39934.54,6158.13,Detention,2984.46,49077.13,1,PL-11,Reefer,Core,,7221
T500016,2024-02-20,NJ1,ATL,GA,TL,Standard,860,35970.48,6731.71,None,0.0,42702.19,1,PL-27,DryVan,Surge,,6110
T500017,2024-02-23,TX2,PHX,AZ,TL,Standard,880,38057.82,5033.1,Inside Delivery,3268.22,46359.14,1,PL-12,DryVan,Surge,,6110
T500018,2024-02-26,NJ1,ATL,GA,TL,Expedite,860,43360.55,9392.03,Inside Delivery,1570.28,54322.86,0,PL-19,DryVan,Core,,5412
T500019,2024-02-29,NJ1,CHI,IL,TL,Standard,790,34215.77,4936.14,None,0.0,39151.91,1,PL-34,DryVan,Core,Pilot,6110
T500020,2024-03-03,NJ1,CHI,IL,TL,Standard,790,28896.04,6121.83,Inside Delivery,1616.38,36634.25,1,PL-20,DryVan,Promo,Pilot,6110
T500021,2024-03-06,TX2,DAL,TX,TL,Standard,220,8320.61,1896.7,None,0.0,10217.31,1,PL-15,Reefer,Promo,,7221
T500022,2024-03-09,NJ1,CLT,NC,TL,Standard,630,25488.36,3434.38,None,0.0,28922.74,1,PL-25,Reefer,Surge,,7221
T500023,2024-03-12,NJ1,CLT,NC,TL,Standard,630,26410.57,3697.34,None,0.0,30107.91,1,PL-30,DryVan,Core,,7221
T500024,2024-03-15,NJ1,CHI,IL,TL,Standard,790,33140.96,6042.67,Inside Delivery,3719.85,42903.48,1,PL-19,DryVan,Core,,6110
T500025,2024-03-18,NJ1,CHI,IL,TL,Standard,790,31915.81,4158.01,None,0.0,36073.81,1,PL-18,DryVan,Core,,7221
T500026,2024-03-21,TX2,PHX,AZ,TL,Standard,880,35043.45,6354.22,None,0.0,41397.66,1,PL-23,DryVan,Core,,6110
T500027,2024-03-24,NJ1,CLT,NC,TL,Standard,630,28754.77,6548.94,Inside Delivery,2801.13,38104.84,1,PL-29,DryVan,Core,,7221
T500028,2024-03-27,TX2,DAL,TX,TL,Expedite,220,10550.46,1682.14,None,0.0,12232.6,1,PL-27,DryVan,Promo,,7221
T500029,2024-03-30,TX2,DAL,TX,TL,Standard,220,9333.37,1917.46,None,0.0,11250.82,1,PL-23,DryVan,Surge,,7221
T500030,2024-04-02,TX2,PHX,AZ,TL,Standard,880,35486.94,6115.14,None,0.0,41602.08,1,PL-31,Reefer,Surge,,6110
T500031,2024-04-05,NJ1,CLT,NC,TL,Standard,630,24808.08,4534.13,None,0.0,29342.22,1,PL-32,Reefer,Surge,,7221
T500032,2024-04-08,NJ1,ATL,GA,TL,Standard,860,36360.97,5858.98,Inside Delivery,1467.76,43687.72,1,PL-17,Reefer,Core,,7221
T500033,2024-04-11,TX2,PHX,AZ,TL,Standard,880,38945.32,7335.02,None,0.0,46280.34,0,PL-25,Reefer,Promo,Pilot,5412
T500034,2024-04-14,TX2,HOU,TX,TL,Standard,240,10770.01,2277.91,None,0.0,13047.93,1,PL-27,DryVan,Promo,,5412
T500035,2024-04-17,NJ1,CHI,IL,TL,Standard,790,33535.67,5334.76,None,0.0,38870.43,1,PL-18,DryVan,Surge,,5123
T500036,2024-04-20,NJ1,CHI,IL,TL,Standard,790,28963.08,3990.52,None,0.0,32953.6,0,PL-34,Reefer,Core,,7221
T500037,2024-04-23,NJ1,CLT,NC,TL,Standard,630,27433.18,5661.8,None,0.0,33094.98,1,PL-18,Reefer,Surge,,7221
T500038,2024-04-26,TX2,DAL,TX,TL,Standard,220,7913.88,1643.65,None,0.0,9557.52,1,PL-24,DryVan,Core,Ops adj.,5123
T500039,2024-04-29,TX2,DAL,TX,TL,Standard,220,8203.51,1589.75,None,0.0,9793.26,1,PL-21,Reefer,Core,,5412
T500040,2024-05-02,TX2,DEN,CO,TL,Expedite,650,29110.31,5796.06,Liftgate,2519.95,37426.33,1,PL-16,Reefer,Promo,Pilot,5412
T500041,2024-05-05,NJ1,CLT,NC,TL,Standard,630,24210.77,3344.99,None,0.0,27555.76,0,PL-20,DryVan,Surge,,6110
T500042,2024-05-08,NJ1,ATL,GA,TL,Standard,860,37732.92,5694.74,None,0.0,43427.66,1,PL-23,DryVan,Core,,6110
T500043,2024-05-11,NJ1,CLT,NC,TL,Standard,630,26728.08,5076.59,None,0.0,31804.68,1,PL-32,DryVan,Core,,7221
T500044,2024-05-14,NJ1,ATL,GA,TL,Standard,860,36989.43,7038.97,None,0.0,44028.4,1,PL-14,DryVan,Core,,5412
T500045,2024-05-17,NJ1,CHI,IL,TL,Standard,790,30648.46,5506.45,None,0.0,36154.91,1,PL-17,DryVan,Core,,6110
T500046,2024-05-20,TX2,HOU,TX,TL,Expedite,240,11448.39,2618.41,None,0.0,14066.8,1,PL-20,DryVan,Core,,7221
T500047,2024-05-23,TX2,PHX,AZ,TL,Standard,880,39640.17,8814.17,None,0.0,48454.34,1,PL-24,DryVan,Promo,Pilot,5123
T500048,2024-05-26,TX2,PHX,AZ,TL,Standard,880,32660.2,6706.44,Inside Delivery,1332.69,40699.33,1,PL-18,DryVan,Promo,,5123
T500049,2024-05-29,TX2,DAL,TX,TL,Standard,220,8652.64,1351.06,Liftgate,2713.9,12717.61,1,PL-26,DryVan,Promo,,5412
T500050,2024-06-01,TX2,DEN,CO,TL,Standard,650,25469.47,5309.48,None,0.0,30778.95,1,PL-23,DryVan,Surge,Pilot,6110
T500051,2024-06-04,NJ1,CLT,NC,TL,Standard,630,23804.54,3998.45,None,0.0,27803.0,1,PL-33,DryVan,Surge,,5123
T500052,2024-06-07,NJ1,ATL,GA,TL,Standard,860,35802.52,5817.88,None,0.0,41620.41,1,PL-27,DryVan,Core,,6110
T500053,2024-06-10,TX2,PHX,AZ,TL,Standard,880,38126.55,8295.98,None,0.0,46422.52,1,PL-22,DryVan,Surge,,5123
T500054,2024-06-13,NJ1,ATL,GA,TL,Standard,860,36018.55,6031.18,Detention,4255.7,46305.43,1,PL-24,DryVan,Surge,,5123
T500055,2024-06-16,TX2,PHX,AZ,TL,Standard,880,36479.3,6694.44,None,0.0,43173.75,1,PL-21,DryVan,Promo,Pilot,5123
T500056,2024-06-19,TX2,HOU,TX,TL,Standard,240,11032.38,1909.26,None,0.0,12941.64,1,PL-21,Reefer,Surge,,6110
T500057,2024-06-22,TX2,DAL,TX,TL,Expedite,220,9783.58,1833.56,None,0.0,11617.14,1,PL-17,DryVan,Surge,,5123
T500058,2024-06-25,TX2,PHX,AZ,TL,Standard,880,35834.05,8050.95,Inside Delivery,3896.98,47781.98,1,PL-29,Reefer,Surge,,5123
T500059,2024-06-28,NJ1,ATL,GA,TL,Standard,860,38833.25,6354.47,Inside Delivery,1974.43,47162.15,1,PL-19,DryVan,Core,,5123
T500060,2024-07-01,NJ1,ATL,GA,TL,Standard,860,37127.58,5913.93,None,0.0,43041.51,1,PL-16,Reefer,Core,,5123
T500061,2024-07-04,NJ1,CHI,IL,TL,Expedite,790,32653.4,4942.19,None,0.0,37595.59,1,PL-25,DryVan,Core,,5412
T500062,2024-07-07,NJ1,CLT,NC,TL,Standard,630,30722.77,4661.78,None,0.0,35384.55,1,PL-34,DryVan,Promo,Ops adj.,5123
T500063,2024-07-10,TX2,HOU,TX,TL,Standard,240,10599.5,1610.6,None,0.0,12210.1,0,PL-24,DryVan,Surge,,7221
T500064,2024-07-13,TX2,PHX,AZ,TL,Standard,880,38152.97,7187.44,None,0.0,45340.41,1,PL-12,DryVan,Surge,,7221
T500065,2024-07-16,TX2,DEN,CO,TL,Standard,650,24941.13,5028.9,None,0.0,29970.03,1,PL-19,DryVan,Promo,,6110
T500066,2024-07-19,NJ1,ATL,GA,TL,Standard,860,33380.67,5085.25,None,0.0,38465.92,1,PL-16,Reefer,Promo,Pilot,6110
T500067,2024-07-22,NJ1,CHI,IL,TL,Standard,790,35523.35,5311.07,None,0.0,40834.42,1,PL-25,DryVan,Core,,7221
T500068,2024-07-25,TX2,PHX,AZ,TL,Standard,880,36925.02,5826.86,Inside Delivery,1414.02,44165.9,1,PL-24,DryVan,Promo,,5123
T500069,2024-07-28,NJ1,CLT,NC,TL,Standard,630,25949.77,5680.85,None,0.0,31630.62,1,PL-14,DryVan,Promo,Ops adj.,5412
T500070,2024-07-31,TX2,PHX,AZ,TL,Standard,880,38519.79,5900.86,None,0.0,44420.65,1,PL-14,DryVan,Surge,Pilot,5123
T500071,2024-08-03,NJ1,CHI,IL,TL,Standard,790,28715.65,6186.69,Inside Delivery,2947.59,37849.93,1,PL-16,DryVan,Core,,5123
T500072,2024-08-06,TX2,DAL,TX,TL,Standard,220,9390.75,1288.62,Inside Delivery,4368.83,15048.21,0,PL-20,Reefer,Core,,5123
T500073,2024-08-09,NJ1,ATL,GA,TL,Standard,860,34640.26,5892.53,None,0.0,40532.79,1,PL-30,DryVan,Surge,,5123
T500074,2024-08-12,NJ1,CLT,NC,TL,Expedite,630,32326.07,5725.39,None,0.0,38051.45,1,PL-33,DryVan,Core,,6110
T500075,2024-08-15,TX2,DAL,TX,TL,Standard,220,8942.36,1987.01,None,0.0,10929.37,1,PL-28,DryVan,Surge,,6110
T500076,2024-08-18,NJ1,CLT,NC,TL,Standard,630,24667.43,3222.56,None,0.0,27889.99,1,PL-32,DryVan,Core,,6110
T500077,2024-08-21,NJ1,ATL,GA,TL,Standard,860,32925.5,4858.69,None,0.0,37784.19,1,PL-13,DryVan,Surge,,7221
T500078,2024-08-24,TX2,PHX,AZ,TL,Standard,880,37716.76,6663.41,None,0.0,44380.18,1,PL-20,DryVan,Core,,5123
T500079,2024-08-27,TX2,DEN,CO,TL,Standard,650,23201.31,4519.22,Detention,4414.92,32135.46,1,PL-16,DryVan,Core,,5123
T500080,2024-08-30,TX2,PHX,AZ,TL,Expedite,880,46800.7,8024.57,None,0.0,54825.27,1,PL-28,DryVan,Promo,,6110
T500081,2024-09-02,NJ1,ATL,GA,TL,Standard,860,35100.77,6249.68,Inside Delivery,2995.78,44346.23,1,PL-17,Reefer,Surge,,5123
T500082,2024-09-05,NJ1,CLT,NC,TL,Standard,630,26648.67,4313.28,None,0.0,30961.95,1,PL-15,DryVan,Core,,7221
T500083,2024-09-08,TX2,DAL,TX,TL,Standard,220,7771.36,1359.39,None,0.0,9130.75,1,PL-12,Reefer,Core,,6110
T500084,2024-09-11,TX2,PHX,AZ,TL,Standard,880,33517.16,6428.57,None,0.0,39945.74,1,PL-12,DryVan,Surge,,5412
T500085,2024-09-14,TX2,HOU,TX,TL,Standard,240,12342.46,2800.78,None,0.0,15143.24,1,PL-17,Reefer,Core,,6110
T500086,2024-09-17,NJ1,CLT,NC,TL,Expedite,630,29998.3,4934.41,None,0.0,34932.72,1,PL-32,DryVan,Promo,,5412
T500087,2024-09-20,TX2,PHX,AZ,TL,Standard,880,37551.03,8421.89,None,0.0,45972.92,1,PL-25,DryVan,Surge,,5412
T500088,2024-09-23,NJ1,CHI,IL,TL,Standard,790,28595.01,4274.45,None,0.0,32869.46,1,PL-29,DryVan,Core,,7221
T500089,2024-09-26,TX2,DAL,TX,TL,Standard,220,7607.77,1352.12,None,0.0,8959.89,1,PL-34,DryVan,Core,,6110
T500090,2024-09-29,NJ1,CHI,IL,TL,Standard,790,30305.52,4769.67,None,0.0,35075.2,1,PL-12,DryVan,Core,,5123
T500091,2024-10-02,NJ1,ATL,GA,TL,Standard,860,38015.91,8119.14,None,0.0,46135.05,1,PL-33,DryVan,Core,,6110
T500092,2024-10-05,TX2,PHX,AZ,TL,Standard,880,38969.86,7920.39,None,0.0,46890.25,1,PL-31,Reefer,Promo,,5412
T500093,2024-10-08,TX2,DAL,TX,TL,Standard,220,8349.21,1828.23,None,0.0,10177.43,1,PL-13,DryVan,Promo,,5123
T500094,2024-10-11,TX2,DEN,CO,TL,Standard,650,25445.47,4286.11,None,0.0,29731.59,1,PL-34,DryVan,Promo,,5123
T500095,2024-10-14,NJ1,CHI,IL,TL,Standard,790,32404.02,5687.15,None,0.0,38091.17,1,PL-26,Reefer,Surge,Pilot,6110
T500096,2024-10-17,TX2,DAL,TX,TL,Expedite,220,8470.24,1278.57,None,0.0,9748.81,1,PL-14,Reefer,Surge,,5123
T500097,2024-10-20,NJ1,CLT,NC,TL,Expedite,630,30152.67,6350.01,None,0.0,36502.68,1,PL-26,Reefer,Core,,7221
T500098,2024-10-23,NJ1,CHI,IL,TL,Standard,790,34504.47,4995.81,None,0.0,39500.28,1,PL-19,DryVan,Core,,7221
T500099,2024-10-26,NJ1,ATL,GA,TL,Standard,860,37888.2,5969.23,None,0.0,43857.43,1,PL-23,Reefer,Core,,6110
T500100,2024-10-29,NJ1,CLT,NC,TL,Standard,630,26184.73,3573.2,None,0.0,29757.94,1,PL-29,Reefer,Core,,7221
T500101,2024-11-01,NJ1,CLT,NC,TL,Standard,630,24849.48,5268.22,None,0.0,30117.7,1,PL-15,DryVan,Core,Ops adj.,5123
T500102,2024-11-04,TX2,DAL,TX,TL,Standard,220,9151.44,1961.46,None,0.0,11112.91,1,PL-16,Reefer,Core,Pilot,5412
T500103,2024-11-07,TX2,DAL,TX,TL,Standard,220,8735.41,1212.47,None,0.0,9947.88,1,PL-27,DryVan,Promo,,7221
T500104,2024-11-10,NJ1,CHI,IL,TL,Standard,790,29297.33,3840.25,Inside Delivery,2807.88,35945.45,1,PL-33,DryVan,Core,,5123
T500105,2024-11-13,NJ1,ATL,GA,TL,Standard,860,33823.74,5646.35,None,0.0,39470.09,1,PL-27,Reefer,Core,,5123
T500106,2024-11-16,NJ1,CHI,IL,TL,Standard,790,31364.9,6320.02,None,0.0,37684.92,1,PL-19,Reefer,Promo,,7221
T500107,2024-11-19,NJ1,CLT,NC,TL,Standard,630,30699.74,6885.93,None,0.0,37585.67,1,PL-18,DryVan,Surge,,7221
T500108,2024-11-22,NJ1,CHI,IL,TL,Standard,790,30643.62,4633.22,None,0.0,35276.85,1,PL-30,DryVan,Surge,,7221
T500109,2024-11-25,NJ1,CLT,NC,TL,Standard,630,25838.94,4046.12,None,0.0,29885.05,0,PL-27,Reefer,Surge,,5123
T500110,2024-11-28,NJ1,CLT,NC,TL,Standard,630,25344.71,3816.99,None,0.0,29161.7,1,PL-14,DryVan,Promo,,6110
T500111,2024-12-01,NJ1,CLT,NC,TL,Standard,630,23983.36,3241.36,None,0.0,27224.72,1,PL-14,DryVan,Surge,,6110
T500112,2024-12-04,TX2,DEN,CO,TL,Standard,650,27374.22,5748.8,None,0.0,33123.02,1,PL-34,Reefer,Surge,,7221
T500113,2024-12-07,TX2,DEN,CO,TL,Standard,650,23773.08,4618.2,None,0.0,28391.28,1,PL-32,DryVan,Core,,5412
T500114,2024-12-10,TX2,PHX,AZ,TL,Standard,880,34363.77,7630.09,None,0.0,41993.86,1,PL-24,Reefer,Promo,,5123
T500115,2024-12-13,NJ1,CHI,IL,TL,Standard,790,32546.24,7161.6,None,0.0,39707.84,1,PL-15,DryVan,Core,,5123
T500116,2024-12-16,TX2,PHX,AZ,TL,Standard,880,36993.42,6537.24,None,0.0,43530.67,1,PL-11,DryVan,Surge,,6110
T500117,2024-12-19,NJ1,ATL,GA,TL,Standard,860,38195.63,5343.55,None,0.0,43539.18,1,PL-16,DryVan,Core,,7221
T500118,2024-12-22,NJ1,CHI,IL,TL,Expedite,790,39875.47,8284.21,None,0.0,48159.68,0,PL-16,DryVan,Promo,,7221
T500119,2024-12-25,NJ1,CLT,NC,TL,Standard,630,22159.74,3818.34,None,0.0,25978.07,1,PL-31,DryVan,Core,,7221
