Site,Week_Ending,Avg_Stored_Pallets,Order_Lines_Picked,Outbound_Cartons,Regular_Labor_Hours,Overtime_Labor_Hours,Fill_Rate_pct,Notes
PHX1,2024-07-21,14483,76439,53868,1222.88,104.98,98.17,
PHX1,2024-07-28,12791,79625,63564,1329.83,110.81,98.78,
PHX1,2024-08-04,12091,75586,57903,1193.2,130.84,98.4,
PHX1,2024-08-11,13469,79302,60080,1282.88,118.86,98.75,
PHX1,2024-08-18,12759,69743,68300,1236.97,115.62,99.07,Pilot
PHX1,2024-08-25,13245,75597,56146,1198.96,105.33,98.9,
PHX1,2024-09-01,12829,83301,57126,1354.58,98.15,99.8,
PHX1,2024-09-08,13970,77872,62436,1296.62,108.29,98.1,
PHX1,2024-09-15,12639,81045,51455,1206.72,140.65,98.5,
PHX1,2024-09-22,13136,77564,57177,1244.61,105.74,98.67,Pilot
PHX1,2024-09-29,13070,75431,58852,1317.66,82.3,98.48,Noise: reclass
PHX1,2024-10-06,15909,101609,71067,1615.37,130.03,98.88,
PHX1,2024-10-13,16326,101338,65054,1467.02,192.7,98.99,
PHX1,2024-10-20,14938,93705,70901,1509.46,107.11,98.07,
PHX1,2024-10-27,15038,79609,64218,1319.72,154.42,97.96,
PHX1,2024-11-03,15977,87929,65271,1434.69,136.39,99.31,
PHX1,2024-11-10,16142,90855,71866,1448.14,148.05,98.73,Pilot
PHX1,2024-11-17,15892,98002,71093,1662.45,95.04,97.71,
PHX1,2024-11-24,15430,98363,63457,1568.89,68.28,98.87,
PHX1,2024-12-01,16349,92256,68201,1578.23,65.7,99.71,Pilot
PHX1,2024-12-08,14930,87077,71474,1458.94,126.44,98.35,
PHX1,2024-12-15,14569,88082,68733,1559.28,52.04,99.12,
PHX1,2024-12-22,15734,89025,66175,1480.12,99.57,98.56,Pilot
PHX1,2024-12-29,16147,92751,69222,1495.5,131.79,97.48,
DFW2,2024-01-07,16984,69236,70619,1252.59,90.55,97.33,
DFW2,2024-01-14,17374,83910,67404,1347.61,165.58,98.57,
DFW2,2024-01-21,17082,80204,69555,1379.4,109.74,97.96,Pilot
DFW2,2024-01-28,16532,73078,62469,1244.25,84.91,99.15,
DFW2,2024-02-04,15993,73232,62913,1310.77,67.63,98.35,
DFW2,2024-02-11,16329,71259,61434,1217.75,103.04,99.27,
DFW2,2024-02-18,16204,73797,64662,1227.79,110.43,97.54,
DFW2,2024-02-25,15951,69735,63648,1249.35,121.62,98.82,
DFW2,2024-03-03,17011,78164,61720,1295.35,124.92,99.01,
DFW2,2024-03-10,16629,69704,67943,1343.7,94.7,97.71,
DFW2,2024-03-17,17178,74503,70702,1349.53,105.09,98.68,
DFW2,2024-03-24,16082,82640,58459,1284.32,107.93,98.87,
DFW2,2024-03-31,16933,70490,67762,1249.9,104.89,98.61,
DFW2,2024-04-07,18293,73355,63877,1287.07,88.57,97.36,Pilot
DFW2,2024-04-14,16981,79663,67597,1375.61,137.53,99.78,
DFW2,2024-04-21,17444,81398,62681,1349.56,124.78,98.49,
DFW2,2024-04-28,17585,76515,66946,1398.73,73.35,98.31,
DFW2,2024-05-05,18184,78322,70347,1428.37,84.67,97.24,
DFW2,2024-05-12,18006,76919,69894,1248.12,163.62,98.95,Noise: reclass
DFW2,2024-05-19,17974,76584,66712,1277.23,136.7,98.57,
DFW2,2024-05-26,16483,75692,68547,1458.75,87.59,98.8,
DFW2,2024-06-02,17483,77251,71136,1329.76,117.93,99.38,
DFW2,2024-06-09,17579,77886,66811,1309.76,135.71,98.68,
DFW2,2024-06-16,17013,77758,72466,1440.47,90.22,98.35,Noise: reclass
DFW2,2024-06-23,16769,73284,64349,1303.39,86.16,98.31,
DFW2,2024-06-30,16970,72595,70256,1405.47,59.49,99.45,Noise: reclass
DFW2,2024-07-07,18512,68705,72962,1292.49,109.87,98.31,
DFW2,2024-07-14,16370,80793,67069,1274.0,161.35,98.69,
DFW2,2024-07-21,18115,77236,67667,1362.06,72.45,98.51,Pilot
DFW2,2024-07-28,17357,80219,73988,1395.95,149.09,98.56,Noise: reclass
DFW2,2024-08-04,17148,83056,75594,1389.26,156.14,99.08,
DFW2,2024-08-11,17908,81273,68346,1365.15,155.47,98.64,
DFW2,2024-08-18,17134,70167,73334,1314.16,128.25,99.56,Noise: reclass
DFW2,2024-08-25,16211,69041,70437,1284.56,92.39,97.78,Noise: reclass
DFW2,2024-09-01,16822,70507,70314,1338.47,104.19,98.42,
DFW2,2024-09-08,17112,74011,67268,1331.6,108.97,98.75,
DFW2,2024-09-15,17763,82294,71915,1489.78,126.1,98.75,
DFW2,2024-09-22,16707,73224,70555,1346.42,70.66,98.6,
DFW2,2024-09-29,16499,72727,74857,1246.54,159.02,98.86,
DFW2,2024-10-06,20701,93218,80730,1561.77,110.43,98.2,
DFW2,2024-10-13,20091,85447,82193,1564.88,85.94,98.28,
DFW2,2024-10-20,19944,94051,74787,1606.07,143.08,98.32,Noise: reclass
DFW2,2024-10-27,21264,89383,83362,1549.66,155.38,99.8,
DFW2,2024-11-03,19212,92561,74354,1491.39,121.21,98.8,
DFW2,2024-11-10,19671,90169,78646,1519.06,152.41,98.66,
DFW2,2024-11-17,19586,93718,85533,1696.41,121.02,98.96,
DFW2,2024-11-24,19223,89287,82671,1601.76,119.85,98.66,Noise: reclass
DFW2,2024-12-01,19560,83874,85630,1580.88,137.76,99.08,
DFW2,2024-12-08,19712,88053,78489,1570.12,137.97,98.37,
DFW2,2024-12-15,19705,91541,70704,1532.25,120.52,98.39,
DFW2,2024-12-22,20574,95912,77356,1600.69,163.22,98.01,
DFW2,2024-12-29,20342,91138,80626,1626.66,119.71,97.79,
ATL3,2024-01-07,14988,92064,65389,1481.6,139.4,98.88,
ATL3,2024-01-14,14042,83003,62160,1322.13,124.42,97.88,
ATL3,2024-01-21,13982,93599,72315,1429.64,207.49,98.38,
ATL3,2024-01-28,15047,94023,62095,1374.05,152.29,99.8,Noise: reclass
ATL3,2024-02-04,13428,82060,54338,1279.69,112.79,99.04,
ATL3,2024-02-11,13341,80464,60764,1354.05,120.43,97.84,
ATL3,2024-02-18,14172,89417,62318,1363.99,139.01,98.33,Noise: reclass
ATL3,2024-02-25,13376,82947,56242,1264.48,115.33,98.97,
ATL3,2024-03-03,15213,92166,56283,1316.57,147.73,98.23,
ATL3,2024-03-10,13261,83316,61453,1280.69,154.44,98.61,
ATL3,2024-03-17,12798,82427,58077,1305.36,57.17,98.06,
ATL3,2024-03-24,13956,76970,54642,1218.92,80.08,98.83,Noise: reclass
ATL3,2024-03-31,13381,73815,63364,1258.35,77.54,98.65,
ATL3,2024-04-07,13999,89475,58713,1378.46,110.2,98.39,
ATL3,2024-04-14,13183,86970,57195,1324.89,118.17,97.18,
ATL3,2024-04-21,15566,88611,64803,1441.85,130.35,98.31,
ATL3,2024-04-28,15029,85771,60123,1340.82,137.96,99.22,
ATL3,2024-05-05,13996,85662,60169,1371.87,124.25,98.36,Pilot
ATL3,2024-05-12,14360,87710,56082,1458.47,75.17,98.37,
ATL3,2024-05-19,14667,94427,61168,1553.03,72.83,98.63,
ATL3,2024-05-26,14218,79521,66328,1324.87,121.15,97.94,
ATL3,2024-06-02,14440,98552,67047,1579.19,146.56,98.75,
ATL3,2024-06-09,13546,89785,50988,1377.09,79.73,98.44,Noise: reclass
ATL3,2024-06-16,14452,86649,68558,1466.22,127.38,99.39,
ATL3,2024-06-23,15261,83329,54378,1215.96,165.87,98.76,
ATL3,2024-06-30,14530,87025,62690,1427.18,140.7,99.48,Pilot
ATL3,2024-07-07,14601,89097,55929,1339.84,149.44,98.68,
ATL3,2024-07-14,13270,87065,68133,1440.06,124.04,97.84,Pilot
ATL3,2024-07-21,14289,89625,61718,1378.34,145.03,99.35,
ATL3,2024-07-28,14751,87751,61364,1389.84,124.62,99.09,
ATL3,2024-08-04,14256,96375,60701,1422.76,177.47,98.81,
ATL3,2024-08-11,14273,87950,54498,1346.8,142.09,97.22,
ATL3,2024-08-18,14755,80750,60630,1272.4,134.31,98.75,
ATL3,2024-08-25,13354,94725,57594,1464.68,110.62,99.09,Noise: reclass
ATL3,2024-09-01,14182,81441,59123,1377.13,101.72,98.81,
ATL3,2024-09-08,13277,89936,64351,1472.77,123.84,98.55,
ATL3,2024-09-15,14400,90017,64446,1479.21,126.86,99.52,
ATL3,2024-09-22,15089,90501,60362,1408.7,100.73,97.64,
ATL3,2024-09-29,13840,81993,64236,1399.39,107.83,98.95,
ATL3,2024-10-06,16060,100141,67485,1529.98,157.59,99.05,Pilot
ATL3,2024-10-13,16265,93526,72512,1552.48,132.03,99.09,
ATL3,2024-10-20,17229,105894,73929,1588.86,196.03,99.59,
ATL3,2024-10-27,16659,98213,73837,1677.16,90.17,98.56,
ATL3,2024-11-03,16858,111341,74661,1728.2,148.71,98.07,
ATL3,2024-11-10,16601,105673,67198,1681.63,153.49,97.87,
ATL3,2024-11-17,16188,109439,70882,1637.5,163.63,98.68,
ATL3,2024-11-24,17330,107375,64269,1687.88,68.42,98.96,
ATL3,2024-12-01,17089,105673,77728,1636.43,178.77,98.1,
ATL3,2024-12-08,17771,107224,73187,1640.72,205.92,98.9,
ATL3,2024-12-15,16731,105395,69573,1657.24,150.37,97.87,
ATL3,2024-12-22,16219,117068,72681,1712.17,147.98,98.08,
ATL3,2024-12-29,16552,100145,72387,1642.87,109.68,98.52,
