Shipment_ID,Ship_Date,Origin_Site,Dest_Site,Mode,Carrier,Miles,Weight_lbs,Linehaul_USD,Fuel_Surcharge_USD,Accessorial_Type,Accessorial_USD,Total_Cost_USD,On_Time_Flag,Planner,Notes
S410036,2024-03-15,ATL3,MCO,LTL,MetroFreight,529,7026,720.31,129.78,Liftgate,35,885.08,1,PL-22,
S410037,2024-03-17,PHX1,LAX,TL,BlueHaul,982,21518,1932.58,344.2,None,0,2276.78,1,PL-24,
S410038,2024-03-19,PHX1,LAX,TL,RoadRidge,440,26440,902.0,149.86,Inside,55,1106.86,1,PL-28,
S410039,2024-03-21,ATL3,CLT,TL,SwiftLine,759,24868,1633.75,300.14,Detention,80,2013.89,1,PL-22,Noise: test invoice
S410040,2024-03-23,DFW2,HOU,LTL,MetroFreight,501,6263,608.1,107.86,None,0,715.96,1,PL-31,Claim
S410041,2024-03-25,DFW2,HOU,LTL,MetroFreight,656,5865,745.63,131.22,None,0,876.85,1,PL-35,Noise: test invoice
S410042,2024-03-27,PHX1,SLC,TL,BlueHaul,818,23639,1609.82,269.62,None,0,1879.44,1,PL-29,
S410043,2024-03-29,DFW2,PHX1,TL,RoadRidge,721,16731,1478.05,262.54,None,0,1740.59,1,PL-36,
S410044,2024-03-31,DFW2,PHX1,TL,RoadRidge,754,20652,1545.7,271.21,None,0,1816.91,1,PL-27,
S410045,2024-04-02,PHX1,SLC,LTL,RoadRidge,845,10531,1690.75,284.9,None,0,1975.65,1,PL-29,
S410046,2024-04-04,PHX1,SLC,TL,MetroFreight,497,26276,1039.23,182.04,Liftgate,35,1256.26,1,PL-33,
S410047,2024-04-06,ATL3,MCO,TL,RoadRidge,821,30112,1683.05,293.35,None,0,1976.4,1,PL-32,Claim
S410048,2024-04-08,DFW2,DEN,LTL,SwiftLine,512,6198,633.09,106.57,Inside,55,794.65,1,PL-23,
S410049,2024-04-10,PHX1,SLC,TL,SwiftLine,854,26947,1838.23,310.73,None,0,2148.97,1,PL-37,
S410050,2024-04-12,ATL3,DFW2,TL,MetroFreight,872,24963,1823.35,325.33,None,0,2148.69,1,PL-33,
S410051,2024-04-14,DFW2,PHX1,LTL,BlueHaul,508,9804,908.43,159.24,Detention,80,1147.68,1,PL-24,
S410052,2024-04-16,ATL3,DFW2,TL,BlueHaul,829,23391,1631.47,287.91,None,0,1919.38,1,PL-27,
S410053,2024-04-18,DFW2,PHX1,TL,SwiftLine,934,23735,2010.43,340.85,None,0,2351.28,1,PL-25,
S410054,2024-04-20,PHX1,LAX,TL,SwiftLine,744,25989,1601.46,264.56,None,0,1866.02,1,PL-32,
S410055,2024-04-22,ATL3,CLT,LTL,MetroFreight,426,7569,624.89,107.67,None,0,732.55,1,PL-39,
S410056,2024-04-24,ATL3,CLT,LTL,MetroFreight,551,13643,1456.85,238.69,Detention,80,1775.54,1,PL-25,
S410057,2024-04-26,ATL3,CLT,LTL,RoadRidge,257,7751,378.48,66.26,None,0,444.74,1,PL-32,
S410058,2024-04-28,DFW2,HOU,TL,BlueHaul,847,22296,1666.9,293.69,None,0,1960.58,1,PL-31,
S410059,2024-04-30,DFW2,HOU,TL,RoadRidge,915,23136,1875.75,319.25,None,0,2195.0,1,PL-33,
S410060,2024-05-02,ATL3,DFW2,TL,BlueHaul,674,22758,1326.43,217.99,None,0,1544.42,1,PL-22,
S410061,2024-05-04,DFW2,DEN,LTL,MetroFreight,366,8141,577.45,93.05,None,0,670.5,1,PL-36,
S410062,2024-05-06,ATL3,CLT,TL,BlueHaul,955,26582,1879.44,314.88,None,0,2194.32,1,PL-34,
S410063,2024-05-08,ATL3,MCO,LTL,BlueHaul,839,3790,580.0,102.28,Liftgate,35,717.27,1,PL-23,
S410064,2024-05-10,DFW2,PHX1,LTL,RoadRidge,632,9174,1101.61,198.26,None,0,1299.87,1,PL-37,
S410065,2024-05-12,DFW2,HOU,TL,MetroFreight,815,15921,1704.16,300.1,Liftgate,35,2039.26,1,PL-22,
S410066,2024-05-14,PHX1,SLC,LTL,BlueHaul,326,5153,306.41,52.52,None,0,358.93,0,PL-32,
S410067,2024-05-16,ATL3,DFW2,LTL,MetroFreight,703,10997,1498.25,256.46,None,0,1754.71,1,PL-22,
S410068,2024-05-18,PHX1,LAX,LTL,MetroFreight,553,5344,572.72,97.08,None,0,669.8,1,PL-32,Pilot
S410069,2024-05-20,PHX1,LAX,TL,BlueHaul,580,22324,1141.44,195.83,None,0,1337.27,1,PL-27,
S410070,2024-05-22,DFW2,HOU,TL,BlueHaul,736,22868,1448.45,267.03,None,0,1715.47,1,PL-30,Pilot
S410071,2024-05-24,DFW2,DEN,TL,MetroFreight,737,22110,1541.07,258.51,None,0,1799.58,1,PL-37,
S410072,2024-05-26,DFW2,HOU,TL,SwiftLine,776,24329,1670.34,290.69,Detention,80,2041.03,1,PL-28,
S410073,2024-05-28,PHX1,LAX,TL,BlueHaul,734,22444,1444.51,254.58,Liftgate,35,1734.09,1,PL-23,
S410074,2024-05-30,DFW2,PHX1,LTL,RoadRidge,521,4011,397.05,70.02,Detention,80,547.07,1,PL-34,
S410075,2024-06-01,ATL3,DFW2,TL,BlueHaul,779,20133,1533.07,266.35,None,0,1799.42,1,PL-22,
S410076,2024-06-03,PHX1,SLC,TL,RoadRidge,834,19052,1709.7,293.79,None,0,2003.49,1,PL-39,
S410077,2024-06-05,PHX1,LAX,TL,SwiftLine,1025,22690,2206.31,378.22,None,0,2584.53,1,PL-38,Pilot
S410078,2024-06-07,ATL3,MCO,TL,RoadRidge,955,20156,1957.75,339.8,None,0,2297.55,1,PL-23,
S410079,2024-06-09,ATL3,CLT,TL,RoadRidge,856,18486,1754.8,299.0,None,0,2053.8,1,PL-38,Pilot
S410080,2024-06-11,ATL3,DFW2,LTL,MetroFreight,421,7464,608.99,102.34,None,0,711.33,1,PL-29,
S410081,2024-06-13,PHX1,SLC,LTL,SwiftLine,353,7486,527.19,93.4,Liftgate,35,655.59,1,PL-36,
S410082,2024-06-15,DFW2,PHX1,TL,RoadRidge,914,22586,1873.7,315.69,None,0,2189.39,1,PL-38,Noise: test invoice
S410083,2024-06-17,PHX1,SLC,LTL,MetroFreight,564,7156,782.17,135.11,None,0,917.28,1,PL-37,Noise: test invoice
S410084,2024-06-19,PHX1,SLC,LTL,RoadRidge,675,10245,1313.92,228.3,None,0,1542.22,1,PL-35,
S410085,2024-06-21,DFW2,PHX1,LTL,RoadRidge,648,7770,956.64,161.29,Liftgate,35,1152.93,1,PL-33,
S410086,2024-06-23,ATL3,DFW2,TL,BlueHaul,397,24663,781.3,138.63,None,0,919.93,1,PL-29,
S410087,2024-06-25,ATL3,DFW2,LTL,BlueHaul,848,6363,984.2,179.76,None,0,1163.95,1,PL-25,
S410088,2024-06-27,DFW2,PHX1,LTL,BlueHaul,387,5813,410.33,72.08,Detention,80,562.41,1,PL-31,
S410089,2024-06-29,DFW2,PHX1,TL,SwiftLine,852,27529,1833.93,315.95,None,0,2149.88,1,PL-30,
S410090,2024-07-01,ATL3,MCO,LTL,SwiftLine,639,8593,1095.44,196.99,None,0,1292.43,1,PL-29,
S410091,2024-07-03,ATL3,CLT,TL,MetroFreight,807,24172,1687.44,276.84,None,0,1964.27,1,PL-30,
S410092,2024-07-05,ATL3,DFW2,TL,BlueHaul,565,22363,1111.92,193.66,Detention,80,1385.58,1,PL-32,
S410093,2024-07-07,ATL3,DFW2,LTL,SwiftLine,498,7860,780.9,142.95,None,0,923.85,1,PL-30,
S410094,2024-07-09,ATL3,DFW2,TL,MetroFreight,707,28026,1478.34,263.96,None,0,1742.29,1,PL-32,
S410095,2024-07-11,PHX1,SLC,TL,BlueHaul,668,24829,1314.62,239.15,Liftgate,35,1588.78,1,PL-39,
S410096,2024-07-13,PHX1,LAX,LTL,RoadRidge,595,10387,1174.25,210.24,None,0,1384.49,1,PL-27,
S410097,2024-07-15,DFW2,PHX1,TL,BlueHaul,687,25346,1352.02,236.15,None,0,1588.16,1,PL-35,
S410098,2024-07-17,DFW2,HOU,TL,RoadRidge,993,25011,2035.65,360.74,None,0,2396.39,1,PL-29,
S410099,2024-07-19,PHX1,LAX,LTL,BlueHaul,620,7955,899.62,155.45,None,0,1055.07,1,PL-38,
S410100,2024-07-21,DFW2,PHX1,LTL,MetroFreight,593,4016,461.53,80.3,Detention,80,621.83,1,PL-21,
S410101,2024-07-23,DFW2,HOU,LTL,MetroFreight,559,6586,713.49,123.67,None,0,837.15,1,PL-31,
S410102,2024-07-25,DFW2,HOU,TL,SwiftLine,806,23391,1734.91,299.67,Inside,55,2089.58,1,PL-34,
S410103,2024-07-27,DFW2,PHX1,LTL,MetroFreight,652,6759,854.05,143.61,None,0,997.66,1,PL-29,
S410104,2024-07-29,ATL3,DFW2,TL,SwiftLine,623,19768,1341.01,230.43,Liftgate,35,1606.44,1,PL-34,
S410105,2024-07-31,PHX1,LAX,LTL,BlueHaul,855,10174,1586.66,288.69,None,0,1875.34,1,PL-22,Noise: test invoice
S410106,2024-08-02,DFW2,PHX1,TL,MetroFreight,741,25015,1549.43,276.43,None,0,1825.87,1,PL-23,
S410107,2024-08-04,ATL3,MCO,TL,SwiftLine,990,17890,2130.97,388.68,None,0,2519.65,1,PL-27,
S410108,2024-08-06,ATL3,MCO,TL,BlueHaul,821,22408,1615.73,295.65,None,0,1911.37,1,PL-26,
S410109,2024-08-08,ATL3,CLT,LTL,RoadRidge,537,12356,1260.68,218.55,None,0,1479.23,1,PL-21,
S410110,2024-08-10,ATL3,MCO,LTL,BlueHaul,809,14786,2181.85,367.25,Detention,80,2629.09,1,PL-31,
S410111,2024-08-12,DFW2,PHX1,TL,MetroFreight,853,24945,1783.62,304.32,None,0,2087.95,1,PL-28,
S410112,2024-08-14,PHX1,SLC,LTL,SwiftLine,533,3983,423.53,72.79,Detention,80,576.31,1,PL-22,
S410113,2024-08-16,ATL3,MCO,TL,MetroFreight,927,27336,1938.36,337.41,Inside,55,2330.76,1,PL-25,
S410114,2024-08-18,DFW2,PHX1,TL,SwiftLine,402,27161,865.3,157.36,None,0,1022.66,1,PL-27,
S410115,2024-08-20,DFW2,DEN,TL,MetroFreight,943,25668,1971.81,345.72,None,0,2317.53,1,PL-31,
S410116,2024-08-22,DFW2,PHX1,LTL,BlueHaul,531,6975,675.56,113.72,None,0,789.28,1,PL-35,
S410117,2024-08-24,ATL3,CLT,TL,MetroFreight,652,25467,1363.33,242.33,Liftgate,35,1640.66,1,PL-33,
S410118,2024-08-26,DFW2,DEN,TL,BlueHaul,731,23878,1438.61,253.06,Detention,80,1771.67,1,PL-33,
S410119,2024-08-28,PHX1,SLC,TL,RoadRidge,726,24622,1488.3,251.65,None,0,1739.95,1,PL-39,
S410120,2024-08-30,ATL3,CLT,TL,MetroFreight,580,21133,1212.78,209.57,None,0,1422.35,1,PL-32,Pilot
S410121,2024-09-01,ATL3,MCO,LTL,SwiftLine,490,3843,375.67,66.5,None,0,442.17,1,PL-22,
S410122,2024-09-03,ATL3,DFW2,TL,BlueHaul,787,27244,1548.82,261.08,None,0,1809.89,1,PL-23,
S410123,2024-09-05,PHX1,SLC,TL,SwiftLine,552,26001,1188.18,202.42,Detention,80,1470.6,1,PL-28,
S410124,2024-09-07,PHX1,SLC,TL,MetroFreight,492,26691,1028.77,180.39,None,0,1209.17,1,PL-30,
S410125,2024-09-09,ATL3,MCO,LTL,SwiftLine,549,3345,366.36,64.83,None,0,431.2,1,PL-23,
S410126,2024-09-11,PHX1,SLC,TL,BlueHaul,1049,22593,2064.43,370.69,None,0,2435.12,1,PL-36,
S410127,2024-09-13,ATL3,CLT,TL,SwiftLine,824,23605,1773.66,304.0,None,0,2077.66,1,PL-28,
S410128,2024-09-15,DFW2,HOU,TL,BlueHaul,665,21004,1308.72,222.77,None,0,1531.49,1,PL-39,
S410129,2024-09-17,ATL3,MCO,LTL,MetroFreight,534,9078,939.47,160.94,None,0,1100.41,1,PL-39,
S410130,2024-09-19,ATL3,MCO,TL,MetroFreight,791,20933,1653.98,285.97,None,0,1939.95,1,PL-34,
S410131,2024-09-21,DFW2,HOU,LTL,MetroFreight,478,8483,785.83,135.42,None,0,921.26,1,PL-28,Claim
S410132,2024-09-23,ATL3,CLT,TL,RoadRidge,894,23540,1832.7,304.94,None,0,2137.64,1,PL-24,
S410133,2024-09-25,PHX1,SLC,TL,SwiftLine,767,27472,1650.97,286.89,None,0,1937.86,1,PL-35,
S410134,2024-09-27,DFW2,HOU,TL,BlueHaul,574,24557,1129.63,194.14,None,0,1323.77,0,PL-28,Noise: test invoice
S410135,2024-09-29,ATL3,CLT,LTL,SwiftLine,716,10562,1508.7,267.11,None,0,1775.81,1,PL-29,
S410136,2024-10-01,DFW2,DEN,TL,MetroFreight,862,27048,1802.44,314.43,None,0,2116.87,1,PL-38,Claim
S410137,2024-10-03,DFW2,HOU,LTL,SwiftLine,820,900,147.23,25.92,Liftgate,35,208.15,1,PL-34,
S410138,2024-10-05,DFW2,HOU,TL,SwiftLine,533,27110,1147.28,210.42,None,0,1357.7,0,PL-30,
S410139,2024-10-07,PHX1,SLC,LTL,MetroFreight,446,12083,1044.39,187.05,None,0,1231.44,1,PL-26,
S410140,2024-10-09,DFW2,DEN,LTL,RoadRidge,678,8201,1056.45,182.49,Inside,55,1293.94,1,PL-24,
S410141,2024-10-11,ATL3,DFW2,TL,MetroFreight,873,25690,1825.44,313.05,None,0,2138.5,1,PL-34,
S410142,2024-10-13,DFW2,PHX1,TL,MetroFreight,782,26028,1635.16,302.05,None,0,1937.21,1,PL-21,
S410143,2024-10-15,DFW2,PHX1,TL,RoadRidge,641,21534,1314.05,223.84,None,0,1537.89,1,PL-21,
S410144,2024-10-17,ATL3,CLT,TL,RoadRidge,817,25165,1674.85,307.27,Liftgate,35,2017.12,1,PL-21,
S410145,2024-10-19,PHX1,SLC,TL,SwiftLine,690,27080,1485.22,258.52,None,0,1743.74,1,PL-26,
S410146,2024-10-21,PHX1,LAX,TL,RoadRidge,410,25043,840.5,148.22,None,0,988.72,1,PL-24,
S410147,2024-10-23,DFW2,PHX1,LTL,MetroFreight,431,12211,1019.96,180.79,None,0,1200.75,1,PL-23,Noise: test invoice
S410148,2024-10-25,DFW2,PHX1,TL,MetroFreight,574,21285,1200.23,205.84,None,0,1406.07,1,PL-25,
S410149,2024-10-27,ATL3,CLT,TL,SwiftLine,863,22602,1857.61,327.27,Liftgate,35,2219.88,0,PL-28,
S410150,2024-10-29,DFW2,PHX1,TL,BlueHaul,736,30512,1448.45,249.62,None,0,1698.07,1,PL-39,
S410151,2024-10-31,PHX1,SLC,TL,RoadRidge,602,23145,1234.1,223.94,None,0,1458.04,1,PL-26,
S410152,2024-11-02,ATL3,DFW2,LTL,SwiftLine,590,4881,574.52,95.06,None,0,669.57,1,PL-25,
S410153,2024-11-04,DFW2,HOU,TL,BlueHaul,771,24014,1517.33,264.79,None,0,1782.12,1,PL-34,Noise: test invoice
S410154,2024-11-06,DFW2,PHX1,LTL,SwiftLine,538,3160,339.17,58.71,Liftgate,35,432.87,1,PL-27,Pilot
S410155,2024-11-08,ATL3,CLT,TL,MetroFreight,433,29512,905.4,148.72,None,0,1054.12,0,PL-27,Pilot
S410156,2024-11-10,ATL3,MCO,TL,MetroFreight,640,27172,1338.24,244.6,None,0,1582.84,1,PL-21,
S410157,2024-11-12,DFW2,HOU,TL,RoadRidge,900,27414,1845.0,326.59,Detention,80,2251.59,1,PL-31,
S410158,2024-11-14,PHX1,SLC,LTL,SwiftLine,491,8966,878.26,149.05,None,0,1027.31,1,PL-36,
S410159,2024-11-16,DFW2,PHX1,TL,BlueHaul,782,13398,1538.98,265.75,None,0,1804.72,1,PL-39,
S410160,2024-11-18,DFW2,PHX1,LTL,BlueHaul,443,3495,282.41,48.35,Detention,80,410.75,1,PL-23,
S410161,2024-11-20,DFW2,DEN,TL,RoadRidge,660,28678,1353.0,237.56,None,0,1590.56,1,PL-36,
S410162,2024-11-22,DFW2,HOU,TL,RoadRidge,744,27758,1525.2,255.63,None,0,1780.83,0,PL-24,
S410163,2024-11-24,ATL3,MCO,LTL,SwiftLine,407,6726,546.13,97.99,None,0,644.12,1,PL-33,Noise: test invoice
S410164,2024-11-26,PHX1,LAX,LTL,MetroFreight,574,5229,581.68,106.85,None,0,688.53,1,PL-35,Claim
S410165,2024-11-28,ATL3,DFW2,TL,SwiftLine,472,23736,1015.98,181.43,Liftgate,35,1232.41,1,PL-26,
S410166,2024-11-30,ATL3,CLT,LTL,BlueHaul,569,12773,1325.65,236.23,None,0,1561.88,1,PL-22,
S410167,2024-12-02,ATL3,CLT,LTL,RoadRidge,765,9464,1375.59,239.88,Inside,55,1670.47,1,PL-35,Noise: test invoice
S410168,2024-12-04,ATL3,DFW2,LTL,BlueHaul,391,13397,955.45,163.6,None,0,1119.05,1,PL-29,
S410169,2024-12-06,DFW2,HOU,TL,MetroFreight,856,26491,1789.9,310.48,None,0,2100.38,1,PL-31,
S410170,2024-12-08,DFW2,DEN,TL,MetroFreight,724,23093,1513.88,255.74,None,0,1769.62,0,PL-22,
S410171,2024-12-10,PHX1,SLC,TL,SwiftLine,893,26056,1922.18,317.49,None,0,2239.68,1,PL-25,
S410172,2024-12-12,DFW2,HOU,LTL,MetroFreight,415,10268,825.82,142.03,None,0,967.85,1,PL-25,
S410173,2024-12-14,ATL3,MCO,TL,RoadRidge,991,24658,2031.55,368.89,None,0,2400.44,0,PL-30,Claim
S410174,2024-12-16,ATL3,MCO,TL,MetroFreight,1030,25688,2153.73,371.1,Inside,55,2579.83,1,PL-27,
S410175,2024-12-18,DFW2,HOU,TL,RoadRidge,640,24523,1312.0,222.06,Inside,55,1589.06,1,PL-25,
S410176,2024-12-20,DFW2,DEN,LTL,RoadRidge,404,5988,459.64,79.2,None,0,538.84,1,PL-26,
S410177,2024-12-22,ATL3,DFW2,TL,RoadRidge,749,22167,1535.45,264.74,Detention,80,1880.19,1,PL-26,
S410178,2024-12-24,ATL3,MCO,TL,BlueHaul,760,23704,1495.68,262.94,None,0,1758.62,1,PL-31,
S410179,2024-12-26,ATL3,CLT,LTL,BlueHaul,371,7368,498.6,86.32,None,0,584.92,1,PL-31,
