Invoice_ID,Invoice_Date,Site,Supplier,Category,Invoice_Amount_USD,Payment_Terms,Discount_Terms,Discount_Taken_Flag,Due_Date,Paid_Date,Supplier_Risk,Notes
INV900161,2024-11-05,DFW2,BoxWorks,Labels,12843.52,Net30,None,0,2024-12-05,2024-12-06,Low,
INV900162,2024-11-10,PHX1,FlexiPack,Labels,5734.84,Net45,None,0,2024-12-25,2024-12-28,High,
INV900163,2024-11-15,DFW2,EdgeGuard,Strapping,8975.81,Net60,2/10 Net30,0,2025-01-14,2025-01-16,Low,
INV900164,2024-11-20,ATL3,Ink&Label,Strapping,15890.09,Net30,2/10 Net30,0,2024-12-20,2024-12-22,Med,
INV900165,2024-11-25,ATL3,BoxWorks,Strapping,26934.68,Net30,2/10 Net30,0,2024-12-25,2024-12-24,Med,
INV900166,2024-11-30,DFW2,TapeTown,StretchFilm,9469.28,Net45,1/15 Net45,0,2025-01-14,2025-01-12,Low,
INV900167,2024-12-05,ATL3,EdgeGuard,StretchFilm,12721.08,Net45,2/10 Net30,0,2025-01-19,2025-01-20,Low,
INV900168,2024-12-10,PHX1,Ink&Label,StretchFilm,8360.28,Net30,None,0,2025-01-09,2025-01-08,Low,
INV900169,2024-12-15,PHX1,TapeTown,Corrugated,8120.8,Net30,None,0,2025-01-14,2025-01-20,Low,
INV900170,2024-12-20,DFW2,BoxWorks,Labels,19496.21,Net45,None,0,2025-02-03,2025-02-01,Low,Pilot
INV900171,2024-12-25,DFW2,Ink&Label,Corrugated,9346.47,Net45,None,0,2025-02-08,2025-02-12,Low,Pilot
